2023-10-17 16:59:42.089 PKT [12764] LOG:  checkpoint starting: time
2023-10-17 16:59:43.012 PKT [12764] LOG:  checkpoint complete: wrote 9 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.883 s, sync=0.013 s, total=0.923 s; sync files=9, longest=0.003 s, average=0.002 s; distance=12 kB, estimate=12 kB; lsn=0/6DC0D18, redo lsn=0/6DC0CE0
2023-10-17 17:28:04.640 PKT [12764] LOG:  checkpoint starting: time
2023-10-17 17:28:05.543 PKT [12764] LOG:  checkpoint complete: wrote 9 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.867 s, sync=0.023 s, total=0.903 s; sync files=9, longest=0.014 s, average=0.003 s; distance=13 kB, estimate=13 kB; lsn=0/6DC4488, redo lsn=0/6DC4450
2023-10-17 19:27:25.427 PKT [11420] ERROR:  null value in column "acco_id" of relation "transactions" violates not-null constraint
2023-10-17 19:27:25.427 PKT [11420] DETAIL:  Failing row contains (26, null, 10/17/2023 7:27:24 PM, 10/17/2023 7:27:24 PM, null, IM0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, Impure, t, null, null, null, null, null, f).
2023-10-17 19:27:25.427 PKT [11420] STATEMENT:  INSERT INTO transactions (acco_id, date_created, date_finalized, dates_modified, acco_tran_id, test_id, use_transaction_id, first_weight, second_weight, third_weight, total_sample_weight, points, pure_weight, taken_cash, taken_gold, fees, charges, rate, discount, amount, remarks, test_type, premium, standard_weight, egr_weight, item_type, sample_returned, received, receivable, paid, payable, transaction_type, transferred, pending_taken_cash, gold_in_cash, gross_amount, net_amount, carried_fees, include_test_fees) VALUES($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15, $16, $17, $18, $19, $20, $21, $22, $23, $24, $25, $26, $27, $28, $29, $30, $31, $32, $33, $34, $35, $36, $37, $38, $39) RETURNING *
2023-10-17 19:27:31.836 PKT [12764] LOG:  checkpoint starting: time
2023-10-17 19:27:32.084 PKT [12764] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.209 s, sync=0.017 s, total=0.248 s; sync files=3, longest=0.014 s, average=0.006 s; distance=0 kB, estimate=12 kB; lsn=0/6DC4638, redo lsn=0/6DC4600
2023-10-17 19:32:31.077 PKT [12764] LOG:  checkpoint starting: time
2023-10-17 19:32:32.533 PKT [12764] LOG:  checkpoint complete: wrote 14 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.403 s, sync=0.028 s, total=1.456 s; sync files=14, longest=0.014 s, average=0.002 s; distance=3 kB, estimate=11 kB; lsn=0/6DC52B0, redo lsn=0/6DC5278
2023-10-17 19:47:31.553 PKT [12764] LOG:  checkpoint starting: time
2023-10-17 19:47:33.014 PKT [12764] LOG:  checkpoint complete: wrote 14 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.415 s, sync=0.023 s, total=1.461 s; sync files=14, longest=0.014 s, average=0.002 s; distance=5 kB, estimate=10 kB; lsn=0/6DC6820, redo lsn=0/6DC67E8
2023-10-17 19:57:31.021 PKT [12764] LOG:  checkpoint starting: time
